@RELATION zscaler

@ATTRIBUTE crashtime  DATE "yyyy-MM-dd HH:mm:ss"
@ATTRIBUTE crashcount   NUMERIC

@DATA
"2023-11-01 05:40:00","1"
"2023-11-01 06:40:00","1"
"2023-11-01 07:40:00","1"
"2023-11-01 08:40:00","1"
"2023-11-01 09:40:00","1"
"2023-11-01 10:40:00","1"
"2023-11-01 11:40:00","1"
"2023-11-01 12:40:00","1"
"2023-11-01 13:40:00","1"
"2023-11-01 14:40:00","1"
"2023-11-01 15:40:00","1"
"2023-11-01 16:40:00","1"
"2023-11-01 17:40:00","1"
"2023-11-01 18:40:00","1"
"2023-11-01 19:40:00","1"
"2023-11-01 20:40:00","1"
"2023-11-01 21:40:00","1"
"2023-11-01 22:40:00","1"
"2023-11-01 23:40:00","1"
"2023-11-02 00:40:00","1"
"2023-11-02 01:40:00","1"
"2023-11-02 02:40:00","1"
"2023-11-02 03:40:00","1"
"2023-11-02 04:40:00","1"
"2023-11-02 05:40:00","1"
"2023-11-02 06:40:00","1"
"2023-11-02 07:40:00","1"
"2023-11-02 08:40:00","1"
"2023-11-02 09:40:00","1"
"2023-11-02 10:40:00","1"
"2023-11-02 11:40:00","1"
"2023-11-02 12:40:00","1"
"2023-11-02 13:40:00","1"
"2023-11-02 14:40:00","1"
"2023-11-02 15:40:00","1"
"2023-11-02 16:40:00","1"
"2023-11-02 17:40:00","6"
"2023-11-02 18:40:00","3"
"2023-11-02 19:40:00","6"
"2023-11-02 20:40:00","6"
"2023-11-02 21:40:00","1"
"2023-11-02 22:40:00","1"
"2023-11-02 23:40:00","1"
"2023-11-03 00:40:00","1"
"2023-11-03 01:40:00","1"
"2023-11-03 02:40:00","1"
"2023-11-03 03:40:00","1"
"2023-11-03 04:40:00","1"
"2023-11-03 05:40:00","1"
"2023-11-03 06:40:00","1"
"2023-11-03 07:40:00","1"
"2023-11-03 08:40:00","1"
"2023-11-03 09:40:00","1"
"2023-11-03 10:40:00","1"
"2023-11-03 11:40:00","1"
"2023-11-03 12:40:00","1"
"2023-11-03 13:40:00","1"
"2023-11-03 14:40:00","1"
"2023-11-03 15:40:00","1"
"2023-11-03 16:40:00","1"
"2023-11-03 17:40:00","1"
"2023-11-03 18:40:00","1"
"2023-11-03 19:40:00","1"
"2023-11-03 20:40:00","1"
"2023-11-03 21:40:00","1"
"2023-11-03 22:40:00","1"
"2023-11-03 23:40:00","1"
"2023-11-04 00:40:00","1"
"2023-11-04 01:40:00","1"
"2023-11-04 02:40:00","1"
"2023-11-04 03:40:00","1"
"2023-11-04 04:40:00","1"
"2023-11-04 05:40:00","1"
"2023-11-04 06:40:00","1"
"2023-11-04 07:40:00","1"
"2023-11-04 08:40:00","1"
"2023-11-04 09:40:00","1"
"2023-11-04 10:40:00","1"
"2023-11-04 11:40:00","1"
"2023-11-04 12:40:00","1"
"2023-11-04 13:40:00","1"
"2023-11-04 14:40:00","1"
"2023-11-04 15:40:00","1"
"2023-11-04 16:40:00","1"
"2023-11-04 17:40:00","1"
"2023-11-04 18:40:00","1"
"2023-11-04 19:40:00","1"
"2023-11-04 20:40:00","1"
"2023-11-04 21:40:00","1"
"2023-11-04 22:40:00","1"
"2023-11-04 23:40:00","1"
"2023-11-05 00:40:00","1"
"2023-11-05 01:40:00","1"
"2023-11-05 02:40:00","1"
"2023-11-05 03:40:00","1"
"2023-11-05 04:40:00","1"
"2023-11-05 05:40:00","1"
"2023-11-05 06:40:00","1"
"2023-11-05 07:40:00","1"
"2023-11-05 08:40:00","1"
"2023-11-05 09:40:00","1"
"2023-11-05 10:40:00","1"
"2023-11-05 11:40:00","1"
"2023-11-05 12:40:00","1"
"2023-11-05 13:40:00","1"
"2023-11-05 14:40:00","1"
"2023-11-05 15:40:00","1"
"2023-11-05 16:40:00","1"
