@RELATION teamsupdate

@ATTRIBUTE crashtime  DATE "yyyy-MM-dd HH:mm:ss"
@ATTRIBUTE crashcount   NUMERIC

@DATA
"2023-11-04 07:19:00","1"
"2023-11-04 08:19:00","1"
"2023-11-04 09:19:00","1"
"2023-11-04 10:19:00","1"
"2023-11-04 11:19:00","1"
"2023-11-04 12:19:00","1"
"2023-11-04 13:19:00","1"
"2023-11-04 14:19:00","1"
"2023-11-04 15:19:00","1"
"2023-11-04 16:19:00","1"
"2023-11-04 17:19:00","1"
"2023-11-04 18:19:00","1"
"2023-11-04 19:19:00","1"
"2023-11-04 20:19:00","1"
"2023-11-04 21:19:00","1"
"2023-11-04 22:19:00","1"
"2023-11-04 23:19:00","1"
"2023-11-05 00:19:00","1"
"2023-11-05 01:19:00","1"
"2023-11-05 02:19:00","1"
"2023-11-05 03:19:00","1"
"2023-11-05 04:19:00","1"
"2023-11-05 05:19:00","1"
"2023-11-05 06:19:00","1"
"2023-11-05 07:19:00","1"
"2023-11-05 08:19:00","1"
"2023-11-05 09:19:00","1"
"2023-11-05 10:19:00","1"
"2023-11-05 11:19:00","1"
"2023-11-05 12:19:00","1"
"2023-11-05 13:19:00","1"
"2023-11-05 14:19:00","1"
"2023-11-05 15:19:00","1"
"2023-11-05 16:19:00","1"
"2023-11-05 17:19:00","1"
"2023-11-05 18:19:00","1"
"2023-11-05 19:19:00","1"
"2023-11-05 20:19:00","1"
"2023-11-05 21:19:00","1"
"2023-11-05 22:19:00","1"
"2023-11-05 23:19:00","1"
"2023-11-06 00:19:00","1"
"2023-11-06 01:19:00","1"
"2023-11-06 02:19:00","1"
"2023-11-06 03:19:00","1"
"2023-11-06 04:19:00","1"
"2023-11-06 05:19:00","1"
"2023-11-06 06:19:00","1"
"2023-11-06 07:19:00","1"
"2023-11-06 08:19:00","1"
"2023-11-06 09:19:00","1"
"2023-11-06 10:19:00","1"
"2023-11-06 11:19:00","1"
"2023-11-06 12:19:00","1"
"2023-11-06 13:19:00","1"
"2023-11-06 14:19:00","1"
"2023-11-06 15:19:00","1"
"2023-11-06 16:19:00","1"
"2023-11-06 17:19:00","1"
"2023-11-06 18:19:00","1"
"2023-11-06 19:19:00","1"
"2023-11-06 20:19:00","1"
"2023-11-06 21:19:00","1"
"2023-11-06 22:19:00","1"
"2023-11-06 23:19:00","1"
"2023-11-07 00:19:00","1"
"2023-11-07 01:19:00","1"
"2023-11-07 02:19:00","1"
"2023-11-07 03:19:00","1"
"2023-11-07 04:19:00","1"
"2023-11-07 05:19:00","1"
"2023-11-07 06:19:00","1"
"2023-11-07 07:19:00","1"
"2023-11-07 08:19:00","1"
"2023-11-07 09:19:00","1"
"2023-11-07 10:19:00","1"
"2023-11-07 11:19:00","1"
"2023-11-07 12:19:00","1"
"2023-11-07 13:19:00","1"
"2023-11-07 14:19:00","1"
"2023-11-07 15:19:00","1"
"2023-11-07 16:19:00","1"
"2023-11-07 17:19:00","1"
"2023-11-07 18:19:00","1"
"2023-11-07 19:19:00","1"
"2023-11-07 20:19:00","1"
"2023-11-07 21:19:00","1"
"2023-11-07 22:19:00","1"
"2023-11-07 23:19:00","1"
"2023-11-08 00:19:00","1"
"2023-11-08 01:19:00","1"
"2023-11-08 02:19:00","1"
"2023-11-08 03:19:00","1"
"2023-11-08 04:19:00","1"
"2023-11-08 05:19:00","1"
"2023-11-08 06:19:00","1"
"2023-11-08 07:19:00","1"
"2023-11-08 08:19:00","1"
"2023-11-08 09:19:00","1"
"2023-11-08 10:19:00","1"
"2023-11-08 11:19:00","1"
"2023-11-08 12:19:00","1"
"2023-11-08 13:19:00","1"
"2023-11-08 14:19:00","1"
"2023-11-08 15:19:00","1"
"2023-11-08 16:19:00","1"
"2023-11-08 17:19:00","1"
"2023-11-08 18:19:00","1"
"2023-11-08 19:19:00","1"
"2023-11-08 20:19:00","1"
"2023-11-08 21:19:00","1"
"2023-11-08 22:19:00","1"
"2023-11-08 23:19:00","1"
"2023-11-09 00:19:00","1"
"2023-11-09 01:19:00","1"
"2023-11-09 02:19:00","1"
"2023-11-09 03:19:00","1"
"2023-11-09 04:19:00","1"
"2023-11-09 05:19:00","1"
"2023-11-09 06:19:00","1"
"2023-11-09 07:19:00","1"
"2023-11-09 08:19:00","1"
"2023-11-09 09:19:00","1"
"2023-11-09 10:19:00","1"
"2023-11-09 11:19:00","1"
"2023-11-09 12:19:00","1"
"2023-11-09 13:19:00","1"
"2023-11-09 14:19:00","1"
"2023-11-09 15:19:00","1"
"2023-11-09 16:19:00","1"
"2023-11-09 17:19:00","1"
"2023-11-09 18:19:00","1"
"2023-11-09 19:19:00","1"
"2023-11-09 20:19:00","1"
"2023-11-09 21:19:00","1"
"2023-11-09 22:19:00","1"
"2023-11-09 23:19:00","1"
"2023-11-10 00:19:00","1"
"2023-11-10 01:19:00","1"
"2023-11-10 02:19:00","1"
"2023-11-10 03:19:00","1"
"2023-11-10 04:19:00","1"
"2023-11-10 05:19:00","1"
"2023-11-10 06:19:00","1"
"2023-11-10 07:19:00","1"
"2023-11-10 08:19:00","1"
"2023-11-10 09:19:00","1"
"2023-11-10 10:19:00","1"
"2023-11-10 11:19:00","1"
"2023-11-10 12:19:00","1"
"2023-11-10 13:19:00","1"
"2023-11-10 14:19:00","1"
"2023-11-10 15:19:00","1"
"2023-11-10 16:19:00","1"
"2023-11-10 17:19:00","1"
"2023-11-10 18:19:00","1"
"2023-11-10 19:19:00","1"
"2023-11-10 20:19:00","1"
"2023-11-10 21:19:00","1"
"2023-11-10 22:19:00","1"
