@RELATION wfshell

@ATTRIBUTE crashtime  DATE "yyyy-MM-dd HH:mm:ss"
@ATTRIBUTE crashcount   NUMERIC

@DATA
"2023-11-01 17:07:00","6"
"2023-11-01 18:07:00","1"
"2023-11-01 19:07:00","84"
"2023-11-01 20:07:00","7"
"2023-11-01 21:07:00","9"
"2023-11-01 22:07:00","1"
"2023-11-01 23:07:00","1"
"2023-11-02 00:07:00","1"
"2023-11-02 01:07:00","1"
"2023-11-02 02:07:00","1"
"2023-11-02 03:07:00","1"
"2023-11-02 04:07:00","1"
"2023-11-02 05:07:00","1"
"2023-11-02 06:07:00","1"
"2023-11-02 07:07:00","1"
"2023-11-02 08:07:00","1"
"2023-11-02 09:07:00","1"
"2023-11-02 10:07:00","1"
"2023-11-02 11:07:00","1"
"2023-11-02 12:07:00","1"
"2023-11-02 13:07:00","1"
"2023-11-02 14:07:00","1"
"2023-11-02 15:07:00","1"
"2023-11-02 16:07:00","1"
"2023-11-02 17:07:00","1"
"2023-11-02 18:07:00","1"
"2023-11-02 19:07:00","89"
"2023-11-02 20:07:00","4"
"2023-11-02 21:07:00","4"
"2023-11-02 22:07:00","1"
"2023-11-02 23:07:00","1"
"2023-11-03 00:07:00","1"
"2023-11-03 01:07:00","1"
"2023-11-03 02:07:00","1"
"2023-11-03 03:07:00","1"
"2023-11-03 04:07:00","1"
"2023-11-03 05:07:00","1"
"2023-11-03 06:07:00","1"
"2023-11-03 07:07:00","1"
"2023-11-03 08:07:00","1"
"2023-11-03 09:07:00","1"
"2023-11-03 10:07:00","1"
"2023-11-03 11:07:00","1"
"2023-11-03 12:07:00","1"
"2023-11-03 13:07:00","1"
"2023-11-03 14:07:00","1"
"2023-11-03 15:07:00","1"
"2023-11-03 16:07:00","1"
"2023-11-03 17:07:00","1"
"2023-11-03 18:07:00","1"
"2023-11-03 19:07:00","90"
"2023-11-03 20:07:00","1"
"2023-11-03 21:07:00","4"
"2023-11-03 22:07:00","1"
"2023-11-03 23:07:00","1"
"2023-11-04 00:07:00","1"
"2023-11-04 01:07:00","1"
"2023-11-04 02:07:00","1"
"2023-11-04 03:07:00","1"
"2023-11-04 04:07:00","1"
"2023-11-04 05:07:00","1"
"2023-11-04 06:07:00","1"
"2023-11-04 07:07:00","1"
"2023-11-04 08:07:00","1"
"2023-11-04 09:07:00","1"
"2023-11-04 10:07:00","1"
"2023-11-04 11:07:00","1"
"2023-11-04 12:07:00","1"
"2023-11-04 13:07:00","1"
"2023-11-04 14:07:00","1"
"2023-11-04 15:07:00","1"
"2023-11-04 16:07:00","1"
"2023-11-04 17:07:00","1"
"2023-11-04 18:07:00","1"
"2023-11-04 19:07:00","72"
"2023-11-04 20:07:00","4"
"2023-11-04 21:07:00","1"
"2023-11-04 22:07:00","1"
"2023-11-04 23:07:00","1"
"2023-11-05 00:07:00","1"
"2023-11-05 01:07:00","1"
"2023-11-05 02:07:00","1"
"2023-11-05 03:07:00","1"
"2023-11-05 04:07:00","1"
"2023-11-05 05:07:00","1"
"2023-11-05 06:07:00","1"
"2023-11-05 07:07:00","1"
"2023-11-05 08:07:00","1"
"2023-11-05 09:07:00","1"
"2023-11-05 10:07:00","1"
"2023-11-05 11:07:00","1"
"2023-11-05 12:07:00","1"
"2023-11-05 13:07:00","1"
"2023-11-05 14:07:00","1"
"2023-11-05 15:07:00","1"
"2023-11-05 16:07:00","1"
"2023-11-05 17:07:00","1"
"2023-11-05 18:07:00","1"
"2023-11-05 19:07:00","90"
"2023-11-05 20:07:00","6"
"2023-11-05 21:07:00","6"
"2023-11-05 22:07:00","1"
"2023-11-05 23:07:00","1"
"2023-11-06 00:07:00","1"
"2023-11-06 01:07:00","1"
"2023-11-06 02:07:00","1"
"2023-11-06 03:07:00","1"
"2023-11-06 04:07:00","1"
"2023-11-06 05:07:00","1"
"2023-11-06 06:07:00","1"
"2023-11-06 07:07:00","1"
"2023-11-06 08:07:00","1"
"2023-11-06 09:07:00","1"
"2023-11-06 10:07:00","1"
"2023-11-06 11:07:00","1"
"2023-11-06 12:07:00","1"
"2023-11-06 13:07:00","1"
"2023-11-06 14:07:00","1"
"2023-11-06 15:07:00","1"
"2023-11-06 16:07:00","1"
"2023-11-06 17:07:00","1"
"2023-11-06 18:07:00","1"
"2023-11-06 19:07:00","81"
"2023-11-06 20:07:00","3"
"2023-11-06 21:07:00","1"
"2023-11-06 22:07:00","1"
"2023-11-06 23:07:00","2"
