%% Monthly totals of printer restart (in thousands) for
%% 2020-2022.

@relation printer_restart
@attribute printer_restart numeric
@attribute Date date 'yyyy-MM-dd'

@data
5,2020-01-01
6,2020-02-01
7,2020-03-01
0,2020-04-01
4,2020-05-01
4,2020-06-01
5,2020-07-01
7,2020-08-01
1,2020-09-01
1,2020-10-01
1,2020-11-01
10,2020-12-01
5,2021-01-01
6,2021-02-01
7,2021-03-01
0,2021-04-01
4,2021-05-01
4,2021-06-01
5,2021-07-01
7,2021-08-01
1,2021-09-01
1,2021-10-01
1,2021-11-01
10,2021-12-01
5,2022-01-01
6,2022-02-01
7,2022-03-01
0,2022-04-01
4,2022-05-01
4,2022-06-01
5,2022-07-01
7,2022-08-01
1,2022-09-01
1,2022-10-01
1,2022-11-01
10,2022-12-01
